sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
40440,11,2,,43,0,0,0,0,25,12,0,0,0,3,1,3
29841,9,3,,34,0,0,0,0,15,12,1,0,0,3,1,3
22479,6,3,,37,0,0,0,0,8,12,1,0,1,3,1,2
22617,5,4,,28,0,0,0,0,4,12,1,0,0,3,1,2
22814,6,3,,26,0,0,0,0,5,12,0,0,0,3,1,2
36123,9,1,ENGR,27,0,0,0,0,2,16,1,0,0,3,1,3
44312,12,2,,42,0,1,0,0,16,13,0,0,0,3,1,3
30557,9,2,LIT,38,0,0,0,0,19,14,0,0,0,3,1,3
27805,7,3,,34,0,0,0,0,16,12,,1,0,3,1,2
32856,8,5,BIO,42,0,0,0,0,8,16,0,0,0,3,1,2
39285,11,2,,48,0,0,0,0,28,12,1,0,1,3,1,3
18907,5,1,BIO,32,0,0,0,0,1,16,1,0,0,3,1,2
22006,5,3,,41,1,1,0,0,1,14,0,0,0,3,1,2
30803,9,3,,34,1,0,0,1,7,15,1,0,1,3,1,3
34767,10,3,,35,1,0,0,0,13,12,,1,0,3,1,3
22056,5,5,,42,1,1,0,0,19,12,0,0,0,3,1,2
112171,16,2,INTER,64,1,0,0,0,29,18,0,0,1,3,1,4
55125,12,1,HEALT,73,1,0,0,1,18,18,0,0,1,3,1,3
55594,13,1,SOC,46,1,0,0,0,12,20,0,0,0,3,1,4
47081,12,2,,46,1,1,1,0,22,13,0,0,0,3,1,3
23419,7,1,,29,1,0,0,0,7,12,1,0,0,3,1,2
29662,7,2,HEALT,48,1,1,1,1,27,16,0,0,0,3,1,2
17564,3,4,,43,1,1,0,0,9,13,0,0,0,3,1,1
47460,12,2,BUSAD,44,1,1,0,0,20,16,0,0,0,3,1,3
42928,12,1,LAW,52,1,0,0,0,3,18,0,0,0,3,1,3
38129,11,3,,43,1,0,0,0,22,14,0,0,0,3,1,3
64913,14,2,,37,1,1,0,0,16,12,0,0,0,3,1,4
39340,10,2,SOC,49,1,1,1,1,22,16,0,0,0,3,1,3
32466,9,5,,29,1,0,0,0,11,12,0,0,0,3,1,3
44972,12,2,,46,1,0,0,0,9,14,0,0,0,3,1,3
33309,9,5,,32,1,0,0,0,6,12,0,0,0,3,1,3
54004,12,2,BUSAD,49,1,1,0,0,23,16,0,0,0,3,1,3
56576,12,2,LIT,50,1,1,0,0,23,18,0,0,1,3,1,3
48356,12,1,ENGR,35,1,0,0,0,7,16,0,0,0,3,1,3
17564,3,4,,34,1,0,0,0,11,12,1,0,0,3,1,1
54004,12,2,EDUC,55,1,0,0,0,29,16,0,0,1,3,1,3
32856,8,3,,30,1,0,0,0,3,14,0,0,0,3,1,2
35330,9,3,,66,1,1,0,0,19,13,0,0,0,3,1,3
56148,13,1,ENGR,31,1,0,0,0,10,16,0,0,0,3,1,4
25287,6,5,,41,1,1,0,0,15,12,0,0,0,3,1,2
28407,7,3,,35,1,0,0,0,5,12,0,0,0,3,1,2
31991,8,3,,52,1,0,0,0,28,14,0,0,0,3,1,2
32466,9,3,,43,1,1,0,0,12,12,0,0,0,3,1,3
29601,9,2,SOC,31,1,0,0,0,4,16,1,0,0,3,1,3
49401,13,2,,42,0,0,0,0,14,13,0,0,1,4,1,4
25672,5,3,,31,0,0,0,0,6,13,0,0,0,4,1,2
23316,5,4,,46,0,0,0,0,16,12,0,0,0,4,1,2
45697,12,2,,53,0,0,0,1,23,15,0,0,1,4,1,3
45383,9,1,,57,0,0,0,0,36,12,0,0,0,4,1,3
24576,5,3,,62,0,0,0,0,38,10,0,0,0,4,1,2
20166,5,4,,33,0,0,0,0,6,13,0,0,0,4,1,2
42751,11,1,PUBAF,43,0,0,0,0,16,18,0,0,0,4,1,3
24585,6,2,,53,0,0,0,0,18,15,1,0,0,4,1,2
